식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자,대두_땅콩_여부,알레르기_권고,유제품여부,탄닌가능성,쿠마린여부,쿠마린_권고,카페인여부,알코올_유무
D101-007490000-0001,김밥_치즈,D,음식,1,가정식(분석 함량),1,밥류,1007,김밥,100749,치즈,10074900,해당없음,0,해당없음,100g,177,63.3,6.24,7.03,1.33,22.1,0.21,2.6,6.0,0.21,15.0,41.0,169.0,58.0,13.0,532.0,0.356,0.074,0.0,2.15,0.0,35.07,2.43,0.13,3,식품의약품안전처,270g,해당없음,1,분석,2018-12-31,2025-04-08,False,,True,False,False,,False,False
D101-042410000-0001,초밥_유부초밥,D,음식,1,가정식(분석 함량),1,밥류,1042,초밥,104241,유부초밥,10424100,해당없음,0,해당없음,100g,194,57.4,5.78,5.77,1.21,29.82,1.99,2.6,46.0,0.59,67.0,57.0,386.0,23.0,0.0,270.0,0.0,0.025,0.015,4.25,0.0,3.12,0.69,0.02,3,식품의약품안전처,200g,해당없음,1,분석,2018-12-31,2025-04-08,True,대두/땅콩 성분 가능 → 섭취 주의 권고,False,False,False,,False,False
D102-067000000-0001,시루떡,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2067,시루떡,206700,해당없음,20670000,해당없음,0,해당없음,100g,224,45.3,3.77,1.85,0.93,48.13,0.04,4.0,14.0,0.66,65.0,161.0,195.0,0.0,0.0,0.0,0.24,0.03,0.1,1.83,0.0,0.0,0.11,0.0,3,식품의약품안전처,100g,해당없음,1,분석,2018-12-31,2025-04-08,True,,False,False,False,,False,False
D102-069000000-0001,약식,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2069,약식,206900,해당없음,20690000,해당없음,0,해당없음,100g,220,47.2,4.21,2.45,0.9,45.24,13.24,2.6,13.0,0.33,43.0,85.0,221.0,0.0,0.0,6.0,0.0,0.01,0.0,0.0,0.0,0.0,0.27,0.0,3,식품의약품안전처,100g,해당없음,1,분석,2018-12-31,2025-04-08,True,,False,False,False,,False,False
D102-070000000-0001,인절미,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2070,인절미,207000,해당없음,20700000,해당없음,0,해당없음,100g,242,41.0,5.64,2.16,1.15,50.07,6.35,2.9,16.0,0.4,61.0,128.0,297.0,0.0,0.0,0.0,0.0,0.03,1.05,2.99,0.0,0.0,0.24,0.0,3,식품의약품안전처,100g,해당없음,1,분석,2018-12-31,2025-04-08,True,,False,False,False,,False,False
D102-074390000-0001,찹쌀떡_팥,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2074,찹쌀떡,207439,팥,20743900,해당없음,0,해당없음,100g,295,29.0,5.06,2.53,0.49,62.93,25.95,1.8,17.0,0.41,34.0,34.0,140.0,0.0,0.0,0.0,0.03,0.02,0.22,0.0,0.0,0.0,0.13,0.0,3,식품의약품안전처,100g,해당없음,1,분석,2018-12-31,2025-04-08,True,,False,False,False,,False,False
D102-082120000-0001,도넛_링도넛,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2082,도넛,208212,링도넛,20821200,해당없음,0,해당없음,100g,515,10.9,7.85,33.17,1.97,46.16,11.6,1.2,50.0,1.04,364.0,176.0,537.0,5.0,5.0,7.0,0.59,0.39,0.89,0.0,0.0,47.22,4.49,0.25,3,식품의약품안전처,100g,해당없음,1,분석,2017-12-31,2025-04-08,False,,True,False,False,,False,False
D102-082290000-0001,도넛_찹쌀,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2082,도넛,208229,찹쌀,20822900,해당없음,0,해당없음,100g,288,32.8,6.0,4.64,1.0,55.56,11.04,3.9,21.0,0.76,97.0,49.0,312.0,0.0,0.0,0.0,,0.1,0.257,0.0,0.0,0.49,0.64,0.03,3,식품의약품안전처,70g,해당없음,1,분석,2018-12-31,2025-04-08,False,,True,False,False,,False,False
D102-085000000-0001,마늘빵,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2085,마늘빵,208500,해당없음,20850000,해당없음,0,해당없음,100g,438,10.6,12.06,17.58,1.78,57.94,7.36,4.3,50.0,0.58,119.0,178.0,519.0,150.0,123.0,328.0,0.44,0.16,5.76,2.42,0.0,26.68,8.66,0.18,3,식품의약품안전처,50g,해당없음,1,분석,2018-12-31,2025-04-08,False,,True,False,False,,False,False
D102-087000000-0001,머핀,D,음식,1,가정식(분석 함량),2,빵 및 과자류,2087,머핀,208700,해당없음,20870000,해당없음,0,해당없음,100g,384,20.0,5.73,13.84,1.32,59.15,39.65,1.1,44.0,0.69,137.0,99.0,411.0,112.0,109.0,35.0,0.0,0.077,0.338,0.0,0.0,59.16,6.86,0.15,3,식품의약품안전처,130g,해당없음,1,분석,2019-12-31,2025-04-08,False,,True,False,False,,False,False
